Ref,Val,Package,PosX,PosY,Rot,Side
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-44.284314,90.000000,top
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-44.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-57.284314,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-77.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-90.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-90.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-90.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-90.415685,90.000000,top
"D9","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-103.415685,90.000000,top
"D9","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-103.415685,90.000000,top
"D9","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-103.415685,90.000000,top
"D9","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-103.415685,90.000000,top
"D10","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.880000,-113.481371,0.000000,top
"D10","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",183.139685,-113.481371,0.000000,top
"D10","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.011400,-113.481371,0.000000,top
"D10","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.271085,-113.481371,0.000000,top
"D11","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.880000,-113.481371,0.000000,top
"D11","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.011400,-113.481371,0.000000,top
"D11","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",227.271085,-113.481371,0.000000,top
"D11","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",170.139685,-113.481371,0.000000,top
"D12","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",89.011400,-113.481371,0.000000,top
"D12","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",214.271085,-113.481371,0.000000,top
"D12","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.139685,-113.481371,0.000000,top
"D12","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",31.880000,-113.481371,0.000000,top
"D13","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-103.415686,-90.000000,top
"D13","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-103.415686,-90.000000,top
"D13","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-103.415686,-90.000000,top
"D13","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-103.415686,-90.000000,top
"D14","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-90.415686,-90.000000,top
"D14","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-90.415686,-90.000000,top
"D14","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-90.415686,-90.000000,top
"D14","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-90.415686,-90.000000,top
"D15","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-77.415686,-90.000000,top
"D15","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-77.415686,-90.000000,top
"D15","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-77.415686,-90.000000,top
"D15","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-77.415686,-90.000000,top
"D16","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-57.284314,-90.000000,top
"D16","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-57.284314,-90.000000,top
