Ref,Val,Package,PosX,PosY,Rot,Side
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",62.624400,106.697158,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.493000,106.697158,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",187.884085,106.697158,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.752685,106.697158,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.493000,119.697158,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.752685,119.697158,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",187.884085,119.697158,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",62.624400,119.697158,-90.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",197.949770,83.631472,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",140.818370,83.631472,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.690085,83.631472,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",15.558685,83.631472,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.558685,83.631472,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.690085,83.631472,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.818370,83.631472,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.949770,83.631472,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.818370,83.631472,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.949770,83.631472,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.558685,83.631472,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.690085,83.631472,180.000000,top
"J7","918-418K2023S40001","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.740000,-5.500000,-90.000000,top
"Q1","2N7002","SOT-23",196.596000,-14.732000,0.000000,top
"Q2","S8050","SOT-23",39.370000,-16.129000,180.000000,top
"Q3","S8050","SOT-23",43.688000,-16.129000,0.000000,top
"Q4","2N7002","SOT-23",45.466000,-8.128000,90.000000,top
"R1","75R","R_0603_1608Metric",119.425686,20.441472,0.000000,top
"R1","75R","R_0603_1608Metric",85.360085,20.441472,0.000000,top
"R1","75R","R_0603_1608Metric",28.228685,20.441472,0.000000,top
"R1","75R","R_0603_1608Metric",210.619770,20.441472,0.000000,top
"R1","10K","R_0603_1608Metric",193.675000,-14.732000,-90.000000,top
"R1","75R","R_0603_1608Metric",153.488370,20.441472,0.000000,top
"R2","10K","R_0603_1608Metric",84.708163,-18.363363,-45.000000,top
"R3","4K7","R_0603_1608Metric",190.754000,-7.620000,0.000000,top
"R4","5K1","R_0603_1608Metric",14.351000,-2.921000,0.000000,top
